Title,Rank,Studio,Gross,Year
My Best Friend's Wedding,475,Sony,299.3,1997
Real Steel,476,Buena Vista,299.3,2011
Ocean's 8,477,Warner Brothers,297.7,2018
The Divergent Series: Insurgent,478,Lionsgate,297.3,2015
Dr. Seuss' Horton Hears a Who!,479,Fox,297.1,2008
Look Who's Talking,480,TriStar,297.0,1989
Austin Powers in Goldmember,481,New Line,296.7,2002
Miss Peregrine's Home for Peculiar Children,482,Fox,296.5,2016
X-Men,483,Fox,296.3,2000
Ferdinand,484,Fox,296.1,2017
Ghostbusters,485,Columbia,295.2,1984
Shutter Island,486,Paramount,294.8,2010
Doctor Dolittle,487,Fox,294.5,1998
Salt,488,Sony,293.5,2010
G-Force,489,Buena Vista,292.8,2009
The Departed,490,Warner Brothers,291.5,2006
What Lies Beneath,491,Dreamworks,291.4,2000
Pacific Rim Uprising,492,Universal,290.9,2018
Shakespeare in Love,493,Miramax,289.3,1998
Fantastic Four: Rise of the Silver Surfer,494,Fox,289.0,2007
Divergent,495,Lionsgate,288.9,2014
Coming to America,496,Paramount,288.8,1988
The Bourne Supremacy,497,Universal,288.5,2004
Bridesmaids,498,Universal,288.4,2011
Sex and the City 2,499,Warner Brothers,288.3,2010
Maze Runner: The Death Cure,500,Fox,288.3,2018
Casper,501,Universal,287.9,1995
Bee Movie,502,Dreamworks,287.6,2007
American Pie 2,503,Universal,287.6,2001
Pitch Perfect 2,504,Universal,287.5,2015
The Green Mile,505,Warner Brothers,286.8,1999
Oblivion,506,Universal,286.2,2013
Elysium,507,TriStar,286.1,2013
Lethal Weapon 4,508,Warner Brothers,285.4,1998
Wedding Crashers,509,New Line,285.2,2005
John Carter,510,Buena Vista,284.1,2012
Turbo,511,Fox,282.6,2013
Bridget Jones's Diary,512,Miramax,281.9,2001
Split,513,Universal,278.5,2017
The Tourist,514,Sony,278.3,2010
Scary Movie,515,Miramax,278.0,2000
XXX,516,SonR,277.4,2002
Spirited Away,517,Buena Vista,277.3,2002
The Bourne Legacy,518,Universal,276.1,2012
Mr. Peabody & Sherman,519,Fox,275.7,2014
Scooby-Doo,520,Warner Brothers,275.7,2002
Lincoln,521,Buena Vista,275.3,2012
Lara Croft: Tomb Raider,522,Paramount,274.7,2001
Tomb Raider,523,Warner Brothers,274.7,2018
The Expendables,524,Lionsgate,274.5,2010
Cloudy with a Chance of Meatballs 2,525,Sony,274.3,2013
The Nutty Professor,526,Universal,274.0,1996
Jerry Maguire,527,Sony,273.6,1996
Bad Boys II,528,Sony,273.3,2003
Lilo & Stitch,529,Buena Vista,273.1,2002
The Silence of the Lambs,530,Orion,272.7,1991
Grown Ups,531,Sony,271.4,2010
Neighbors,532,Universal,270.7,2014
The Firm,533,Paramount,270.2,1993
We're the Millers,534,Warner Brothers,270.0,2013
Gran Torino,535,Warner Brothers,270.0,2008
"10,000 B.C.",536,Warner Brothers,269.8,2008
Epic,537,Fox,268.4,2013
Exodus: Gods and Kings,538,Fox,268.2,2014
Paddington,539,Dimension,268.0,2015
Bambi,540,RKO,267.4,1942
The Princess and the Frog,541,Buena Vista,267.0,2009
Batman Returns,542,Warner Brothers,266.9,1992
Something's Gotta Give,543,Sony,266.7,2003
Indecent Proposal,544,Paramount,266.6,1993
American Gangster,545,Universal,266.5,2007
Waterworld,546,Universal,264.2,1995
The Truman Show,547,Paramount,264.1,1998
Charlie's Angels,548,Sony,264.1,2000
The Fifth Element,549,Sony,263.9,1997
The Incredible Hulk,550,Universal,263.4,2008
Jumanji,551,Sony,262.8,1995
Bridget Jones: The Edge of Reason,552,Universal,262.5,2004
Knight & Day,553,Fox,261.9,2010
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,554,Fox,261.6,2006
Total Recall,555,Sony,261.3,1990
Michael Jackson's This Is It,556,Sony,261.2,2009
Robots,557,Fox,260.7,2005
The Lone Ranger,558,Buena Vista,260.5,2013
Super 8,559,Paramount,260.1,2011
Mojin: The Lost Legend,560,WGUSA,259.4,2015
Blade Runner 2049,561,Warner Brothers,259.2,2017
Charlie's Angels: Full Throttle,562,Sony,259.2,2003
Rush Hour 3,563,New Line,258.0,2007
The Full Monty,564,Fox,257.9,1997
Annabelle,565,Warner Brothers,257.0,2014
The Village,566,Buena Vista,256.7,2004
Lost in Hong Kong,567,WGUSA,256.3,2015
Erin Brockovich,568,Universal,256.3,2000
Halloween,569,Universal,255.5,2018
